CustomerID,Lookalikes
C0001,"[('C0100', 0.576370808562652), ('C0120', 0.5679354286697068), ('C0050', 0.5472034439822995)]"
C0002,"[('C0060', 0.7290036922662496), ('C0071', 0.7119500720523262), ('C0097', 0.6927468725024621)]"
C0003,"[('C0181', 0.6376432764924452), ('C0186', 0.5761963122039905), ('C0067', 0.5719029366329118)]"
C0004,"[('C0070', 0.5459627985224831), ('C0063', 0.5107146060538098), ('C0133', 0.4678210246028884)]"
C0005,"[('C0192', 0.7510862881806651), ('C0096', 0.6779039910371152), ('C0060', 0.5794312013874089)]"
C0006,"[('C0040', 0.672426274386867), ('C0058', 0.6070027985302845), ('C0126', 0.4427518827060095)]"
C0007,"[('C0020', 0.6069719178270149), ('C0079', 0.5481549678743669), ('C0119', 0.5363651453494072)]"
C0008,"[('C0165', 0.5093167329908236), ('C0169', 0.45174571136364366), ('C0143', 0.3874896904395565)]"
C0009,"[('C0112', 0.8058586471322009), ('C0140', 0.755136969429789), ('C0162', 0.697683970434761)]"
C0010,"[('C0029', 0.9224686685878004), ('C0092', 0.7826948513334252), ('C0083', 0.7747966381066516)]"
C0011,"[('C0135', 0.6674475565874597), ('C0131', 0.49763110640509434), ('C0173', 0.48750036663083374)]"
C0012,"[('C0164', 0.6786385884932084), ('C0173', 0.6134118171702676), ('C0091', 0.5574351995811229)]"
C0013,"[('C0040', 0.5391411075456977), ('C0169', 0.48661785047750017), ('C0058', 0.46807947489345847)]"
C0014,"[('C0128', 0.7372911881364771), ('C0159', 0.6088526807708692), ('C0060', 0.564520817917184)]"
C0015,"[('C0073', 0.6617172633390205), ('C0179', 0.5545287423106972), ('C0036', 0.491471775743063)]"
C0016,"[('C0052', 0.6828282029085126), ('C0064', 0.6791884198076341), ('C0187', 0.6579892889012323)]"
C0017,"[('C0146', 0.5021470010859048), ('C0147', 0.4203315215480492), ('C0037', 0.38824923096291786)]"
C0018,"[('C0059', 0.3754780601962811), ('C0115', 0.3582429019067994), ('C0177', 0.35407514431194675)]"
C0019,"[('C0064', 0.6247871154155529), ('C0060', 0.5974337894437245), ('C0083', 0.5690671446269293)]"
C0020,"[('C0026', 0.6629174425216845), ('C0007', 0.6069719178270149), ('C0119', 0.57210052256437)]"
